Order_ID,Product,Plant,Shift,Order_Date,Planned_Quantity,Unit_Cost,Customer,Status,Completion_Date,Actual_Quantity,Total_Cost
O100000,Device Q,Plant B,Evening,2023-06-16,752,49.19,Customer2,In Progress,2023-06-22,697,34285.43
O100001,Gadget X,Plant B,Morning,2023-01-10,687,33.36,Customer1,In Progress,2023-01-18,698,23285.28
O100002,Gadget Y,Plant C,Night,2023-02-20,989,35.09,Customer3,In Progress,2023-02-21,879,30844.110000000004
O100003,Device Q,Plant C,Night,2023-10-15,173,39.18,Customer4,Delayed,2023-10-18,208,8149.44
O100004,Widget C,Plant C,Morning,2023-11-24,222,41.17,Customer3,Delayed,2023-12-01,186,7657.62
O100005,Gadget Y,Plant C,Morning,2023-02-16,253,44.53,Customer4,Delayed,2023-02-24,232,10330.960000000001
O100006,Gadget Y,Plant B,Evening,2023-01-13,510,38.84,Customer3,In Progress,2023-01-18,466,18099.440000000002
O100007,Device Q,Plant C,Morning,2023-11-19,633,25.68,Customer3,Delayed,2023-11-20,691,17744.88
O100008,Widget B,Plant C,Evening,2023-11-05,708,16.42,Customer5,Completed,2023-11-07,655,10755.1
O100009,Widget C,Plant A,Night,2023-11-05,718,22.87,Customer5,Completed,2023-11-12,777,17769.99
O100010,Device Q,Plant B,Morning,2023-05-01,179,46.39,Customer5,In Progress,2023-05-10,182,8442.98
O100011,Widget C,Plant C,Night,2023-10-25,804,43.84,Customer4,Delayed,2023-10-27,799,35028.16
O100012,Widget C,Plant C,Morning,2023-10-12,654,21.3,Customer2,Delayed,2023-10-13,561,11949.300000000001
O100013,Gadget Y,Plant C,Night,2023-09-02,332,24.05,Customer2,In Progress,2023-09-06,311,7479.55
O100014,Gadget X,Plant B,Morning,2023-02-16,337,18.24,Customer5,Delayed,2023-02-20,313,5709.12
O100015,Widget C,Plant C,Morning,2023-08-07,782,32.99,Customer1,Delayed,2023-08-14,682,22499.18
O100016,Device P,Plant A,Evening,2023-10-13,164,21.2,Customer4,Delayed,2023-10-21,154,3264.7999999999997
O100017,Gadget Y,Plant B,Evening,2023-05-03,878,41.16,Customer4,Completed,2023-05-11,955,39307.799999999996
O100018,Widget B,Plant A,Morning,2023-01-14,737,26.42,Customer5,Completed,2023-01-21,727,19207.34
O100019,Gadget X,Plant B,Evening,2023-09-10,844,14.91,Customer5,In Progress,2023-09-19,894,13329.54
O100020,Device P,Plant C,Morning,2023-03-20,953,25.06,Customer5,Completed,2023-03-29,910,22804.6
O100021,Device P,Plant B,Morning,2023-08-26,192,38.08,Customer3,Delayed,2023-09-02,184,7006.719999999999
O100022,Widget B,Plant B,Night,2023-11-11,133,25.42,Customer4,Delayed,2023-11-15,144,3660.4800000000005
O100023,Gadget X,Plant B,Evening,2023-04-20,678,30.74,Customer5,Completed,2023-04-27,672,20657.28
O100024,Gadget Y,Plant A,Evening,2023-12-28,322,46.13,Customer3,Completed,2024-01-02,267,12316.710000000001
